MATNR,MAKTX,MATKL,PROGRAM,CRITICALITY,STD_LEAD_TIME_DAYS,STD_UNIT_COST_USD,UOM
NSN-5334-926097,Heat-pipe radiator panel,Thermal,Moon-Base,Routine,14,485741.9,EA
NSN-2169-162535,Composite interstage panel,Structures,Gateway,Critical,277,5165225.03,SET
NSN-9199-666211,Power distribution unit,Power,Artemis-3,Essential,55,1509343.55,EA
NSN-4750-807053,Cryo valve assembly,Propulsion,Artemis-3,Routine,55,432204.31,EA
NSN-9502-783157,Cryo transfer line,GSE,Gateway,Essential,91,2422642.73,SET
NSN-7690-449499,Rad-hard memory array,EEE,Gateway,Essential,86,720651.26,SET
NSN-8451-192337,Inertial measurement unit,Avionics,EGS-Ground,Essential,74,2062344.27,EA
NSN-7770-156837,Cryo transfer line,GSE,SR1-Freedom,Critical,305,1527045.19,LOT
NSN-5719-559398,Al-Li dome gore,Structures,EGS-Ground,Routine,8,599494.33,EA
NSN-1224-679077,Li-ion battery module,Power,Moon-Base,Essential,74,1246014.01,EA
NSN-7807-975271,Power distribution unit,Power,Moon-Base,Essential,107,959057.5,LOT
NSN-2143-389666,Al-Li dome gore,Structures,Artemis-3,Routine,57,615420.18,EA
NSN-9022-255813,Power distribution unit,Power,EGS-Ground,Essential,133,943118.55,EA
NSN-4912-699573,Heat-pipe radiator panel,Thermal,Gateway,Essential,56,1763113.92,SET
NSN-3492-619389,Ground command toolkit,Software,SR1-Freedom,Routine,44,655648.44,SET
NSN-9617-579123,Turbopump impeller,Propulsion,SR1-Freedom,Critical,193,3521418.24,EA
NSN-7512-781403,Connector backshell,EEE,Gateway,Critical,288,6542930.06,EA
NSN-4846-761820,Turbopump impeller,Propulsion,Gateway,Routine,54,733754.27,EA
NSN-3725-827712,Mobile launcher umbilical,GSE,Artemis-3,Essential,56,896254.59,SET
NSN-5000-656968,Composite interstage panel,Structures,EGS-Ground,Essential,88,2177118.37,LOT
NSN-9153-711484,MLI blanket set,Thermal,SR1-Freedom,Critical,356,6741859.48,SET
NSN-9955-265649,Solar array wing,Power,Artemis-3,Critical,296,3426513.02,EA
NSN-7302-994787,MLI blanket set,Thermal,EGS-Ground,Essential,142,739786.59,EA
NSN-7484-387813,Inertial measurement unit,Avionics,Moon-Base,Critical,145,4553164.31,EA
NSN-4115-751051,Heat-pipe radiator panel,Thermal,SR1-Freedom,Essential,69,772435.87,SET
NSN-6977-867934,Inertial measurement unit,Avionics,Moon-Base,Critical,271,1506320.6,LOT
NSN-9697-626169,Rad-hard memory array,EEE,Artemis-3,Routine,59,559930.92,EA
NSN-8673-178957,Cryo valve assembly,Propulsion,Artemis-3,Critical,235,677680.93,SET
NSN-5332-662636,Inertial measurement unit,Avionics,Artemis-3,Critical,308,812997.01,EA
NSN-1410-749641,Mobile launcher umbilical,GSE,SR1-Freedom,Routine,46,476569.35,SET
NSN-7689-222343,Li-ion battery module,Power,SR1-Freedom,Critical,139,1761344.58,LOT
NSN-7367-575679,Al-Li dome gore,Structures,Moon-Base,Essential,152,2213551.65,EA
NSN-7686-393328,Cryo transfer line,GSE,Moon-Base,Critical,309,6415941.5,EA
NSN-9920-776149,Space-grade DC-DC converter,EEE,Gateway,Essential,115,229319.81,EA
NSN-1828-925013,RAD-hard FPGA board,Avionics,Moon-Base,Essential,97,1466019.75,EA
NSN-3417-926952,Space-grade DC-DC converter,EEE,EGS-Ground,Routine,16,188024.37,EA
NSN-1422-238205,Turbopump impeller,Propulsion,Artemis-3,Critical,241,393419.05,SET
NSN-2041-599380,Turbopump impeller,Propulsion,Gateway,Essential,176,1259671.15,LOT
NSN-9543-416282,Inertial measurement unit,Avionics,Gateway,Essential,60,1715290.83,SET
NSN-2204-184714,Cryo transfer line,GSE,EGS-Ground,Essential,61,1582746.85,LOT
NSN-7240-726410,Rad-hard memory array,EEE,SR1-Freedom,Essential,174,1982771.27,EA
NSN-8046-573489,MLI blanket set,Thermal,Gateway,Routine,59,312018.52,EA
NSN-7992-427704,Rad-hard memory array,EEE,SR1-Freedom,Routine,50,68459.49,EA
NSN-8075-201255,Turbopump impeller,Propulsion,EGS-Ground,Routine,42,717470.42,LOT
NSN-3002-530764,Connector backshell,EEE,Artemis-3,Essential,58,879212.72,LOT
NSN-3535-788637,MLI blanket set,Thermal,SR1-Freedom,Essential,134,1906549.69,LOT
NSN-8030-986209,Heat-pipe radiator panel,Thermal,Artemis-3,Essential,51,72528.61,EA
NSN-6567-468074,Li-ion battery module,Power,SR1-Freedom,Critical,193,688591.33,LOT
NSN-7163-540226,Heat-pipe radiator panel,Thermal,Artemis-3,Essential,139,1942122.52,LOT
NSN-1861-263137,Combustion chamber liner,Propulsion,Gateway,Critical,145,3642694.24,SET
NSN-5475-326040,Flight software license,Software,Artemis-3,Routine,34,508677.9,LOT
NSN-9633-799539,Mobile launcher umbilical,GSE,SR1-Freedom,Essential,146,511177.15,EA
NSN-5186-403507,Titanium thrust bracket,Structures,Moon-Base,Essential,172,323094.88,LOT
NSN-9196-685864,Heat-pipe radiator panel,Thermal,SR1-Freedom,Routine,32,327190.07,SET
NSN-6129-703727,Turbopump impeller,Propulsion,Gateway,Essential,151,52288.27,EA
NSN-8538-972442,Composite interstage panel,Structures,Moon-Base,Routine,34,326782.79,SET
NSN-7484-425346,Turbopump impeller,Propulsion,SR1-Freedom,Routine,56,382884.49,EA
NSN-6724-468154,Ablative TPS tile,Thermal,Artemis-3,Routine,13,147989.97,LOT
NSN-2234-285751,Al-Li dome gore,Structures,EGS-Ground,Routine,55,336703.74,LOT
NSN-6179-258290,Rad-hard memory array,EEE,Artemis-3,Essential,158,1478610.68,EA
NSN-6085-584172,Combustion chamber liner,Propulsion,SR1-Freedom,Essential,139,1611719.47,EA
NSN-8581-708519,Telemetry decoder,Software,Moon-Base,Essential,160,803918.68,SET
NSN-2013-572407,Al-Li dome gore,Structures,Moon-Base,Critical,295,293998.33,SET
NSN-9586-648141,Cryo transfer line,GSE,Gateway,Essential,140,1936195.8,LOT
NSN-6482-169113,Inertial measurement unit,Avionics,EGS-Ground,Essential,143,2183218.16,EA
NSN-3317-466813,Cryo valve assembly,Propulsion,SR1-Freedom,Essential,78,774058.28,SET
NSN-3093-802667,Connector backshell,EEE,Gateway,Routine,48,381388.48,EA
NSN-6060-289019,Space-grade DC-DC converter,EEE,Moon-Base,Routine,19,116246.91,EA
NSN-9317-908320,Combustion chamber liner,Propulsion,EGS-Ground,Essential,54,327752.95,SET
NSN-3658-289630,Titanium thrust bracket,Structures,Artemis-3,Routine,9,507286.76,EA
NSN-5668-888939,Mobile launcher umbilical,GSE,Artemis-3,Routine,41,724199.03,SET
NSN-7026-811256,MLI blanket set,Thermal,Gateway,Routine,56,377202.39,SET
NSN-4271-940181,Titanium thrust bracket,Structures,Artemis-3,Essential,58,1386418.68,EA
NSN-5670-187949,Turbopump impeller,Propulsion,Gateway,Routine,39,68826.05,EA
NSN-6727-127965,Mobile launcher umbilical,GSE,Gateway,Essential,173,2486314.2,EA
NSN-1461-434165,Ablative TPS tile,Thermal,Artemis-3,Routine,15,688050.85,SET
NSN-8685-570392,Composite interstage panel,Structures,Moon-Base,Essential,49,1372078.29,LOT
NSN-2821-913875,Flight software license,Software,Gateway,Essential,76,1597433.49,LOT
