EBELN,EBELP,MATNR,MAKTX,LIFNR,PROGRAM,CRITICALITY,MENGE,MEINS,NETPR,NETWR,WAERS,EINDT,BEDAT,ACTUAL_DELIVERY,DELAY_DAYS,PAD_ANOMALY,STATUS
45100000,00010,NSN-6450-162976,Flight software license,100114,Gateway,Essential,11,EA,2512771.95,27640491.4,USD,2026-01-20,2025-10-22,2026-04-26,96,,Delivered
45100001,00010,NSN-5205-925250,Rad-hard memory array,100019,Gateway,Critical,34,SET,7632331.06,259499255.88,USD,2026-05-16,2026-01-16,2026-05-16,0,,Delivered
45100002,00010,NSN-2161-113721,Ablative TPS tile,100114,Gateway,Routine,30,EA,739137.61,22174128.44,USD,2026-07-06,2026-05-07,2026-07-06,0,,Open
45100003,00010,NSN-9530-214626,RAD-hard FPGA board,100018,Gateway,Essential,1,EA,2286602.68,2286602.68,USD,2026-07-18,2026-04-02,2026-07-18,0,,Open
45100004,00010,NSN-7349-536801,Telemetry decoder,100106,Artemis-3,Routine,26,SET,139094.1,3616446.58,USD,2026-04-23,2026-04-16,2026-05-05,12,,Delivered
45100005,00010,NSN-9180-677390,MLI blanket set,100115,Gateway,Routine,37,EA,407749.88,15086745.44,USD,2025-12-09,2025-10-15,2025-12-09,0,,Delivered
45100006,00010,NSN-8187-355479,Al-Li dome gore,100037,EGS-Ground,Routine,27,EA,340171.4,9184627.68,USD,2026-01-24,2026-01-11,2026-01-24,0,,Delivered
45100007,00010,NSN-4675-878476,Cryo valve assembly,100112,Artemis-3,Essential,23,EA,1929255.27,44372871.17,USD,2026-01-16,2025-10-03,2026-01-16,0,,Delivered
45100008,00010,NSN-4113-877493,Heat-pipe radiator panel,100103,Moon-Base,Critical,26,EA,3327627.9,86518325.27,USD,2027-01-23,2026-01-23,2027-01-23,0,,Open
45100009,00010,NSN-8496-358771,Rad-hard memory array,100089,Gateway,Essential,23,LOT,1790845.18,41189439.09,USD,2026-10-05,2026-05-16,2026-10-05,0,,Open
45100010,00010,NSN-2681-523037,Flight computer module,100064,EGS-Ground,Essential,6,EA,2772996.11,16637976.66,USD,2025-11-24,2025-10-10,2025-11-24,0,,Delivered
45100011,00010,NSN-3875-740632,MLI blanket set,100092,SR1-Freedom,Routine,34,EA,303444.46,10317111.59,USD,2026-03-27,2026-02-16,2026-04-12,16,,Delivered
45100012,00010,NSN-4913-989173,Inertial measurement unit,100021,Moon-Base,Routine,11,LOT,133124.66,1464371.21,USD,2025-10-21,2025-10-06,2026-02-04,106,,Delivered
45100013,00010,NSN-2741-148001,Connector backshell,100092,Gateway,Routine,28,LOT,79532.13,2226899.55,USD,2026-04-07,2026-02-07,2026-04-19,12,,Delivered
45100014,00010,NSN-1571-176461,Combustion chamber liner,100045,Moon-Base,Critical,8,EA,5176038.61,41408308.87,USD,2026-06-18,2025-10-13,2026-06-18,0,,Open
45100015,00010,NSN-4277-293757,Heat-pipe radiator panel,100094,Artemis-3,Routine,1,EA,826173.87,826173.87,USD,2026-02-10,2026-01-25,2026-02-10,0,,Delivered
45100016,00010,NSN-5563-901968,Pad water deluge nozzle,100053,Gateway,Routine,37,LOT,290246.62,10739124.94,USD,2026-05-26,2026-04-01,2026-05-26,0,,Delivered
45100017,00010,NSN-9614-361250,Heat-pipe radiator panel,100044,Artemis-3,Essential,20,SET,1319779.33,26395586.6,USD,2026-01-30,2025-12-12,2026-01-30,0,,Delivered
45100018,00010,NSN-5009-876513,Flight computer module,100091,SR1-Freedom,Critical,25,EA,1136313.16,28407829.0,USD,2027-01-21,2026-02-11,2027-01-21,0,,Open
45100019,00010,NSN-6747-658136,RAD-hard FPGA board,100105,Artemis-3,Essential,24,EA,755429.15,18130299.67,USD,2026-04-23,2026-01-25,2026-07-28,96,,Open-Late
45100020,00010,NSN-5914-992717,Li-ion battery module,100007,SR1-Freedom,Critical,28,EA,7604636.42,212929819.88,USD,2026-12-11,2026-05-16,2027-01-12,32,,Open-Late
45100021,00010,NSN-4433-555786,Power distribution unit,100051,SR1-Freedom,Essential,38,EA,2294344.32,87185084.19,USD,2026-04-18,2026-02-21,2026-04-18,0,,Delivered
45100022,00010,NSN-5302-252200,Cryo transfer line,100081,Gateway,Essential,28,LOT,1961072.91,54910041.41,USD,2026-03-10,2026-01-21,2026-03-10,0,,Delivered
45100023,00010,NSN-5945-106887,Composite interstage panel,100105,Artemis-3,Essential,11,LOT,2436118.24,26797300.69,USD,2026-02-13,2025-11-06,2026-02-13,0,,Delivered
45100024,00010,NSN-9015-507652,Heat-pipe radiator panel,100110,Gateway,Critical,34,EA,6607122.48,224642164.45,USD,2026-12-01,2025-10-31,2026-12-01,0,,Open
45100025,00010,NSN-7652-581294,Space-grade DC-DC converter,100075,SR1-Freedom,Essential,36,SET,280269.71,10089709.42,USD,2026-05-04,2026-01-03,2026-05-04,0,,Delivered
45100026,00010,NSN-9508-579187,Pad water deluge nozzle,100015,Artemis-3,Critical,24,LOT,1255733.04,30137592.84,USD,2027-03-14,2026-02-24,2027-05-24,71,,Open-Late
45100027,00010,NSN-8722-742865,Li-ion battery module,100009,Gateway,Essential,20,EA,1663795.31,33275906.19,USD,2026-06-05,2025-12-15,2026-06-05,0,,Delivered
45100028,00010,NSN-6354-626806,Al-Li dome gore,100006,Gateway,Routine,20,LOT,843991.66,16879833.29,USD,2026-07-05,2026-05-16,2026-07-05,0,,Open
45100029,00010,NSN-9199-666211,Power distribution unit,100015,Artemis-3,Essential,36,EA,1661139.26,59801013.37,USD,2026-02-22,2025-12-29,2026-03-04,10,,Delivered
45100030,00010,NSN-9755-708222,Cryo valve assembly,100057,Artemis-3,Essential,22,SET,1111497.83,24452952.16,USD,2026-06-06,2026-04-19,2026-06-06,0,,Delivered
45100031,00010,NSN-9792-257131,Heat-pipe radiator panel,100097,Moon-Base,Critical,9,SET,6094989.83,54854908.47,USD,2027-02-28,2026-02-07,2027-02-28,0,,Open
45100032,00010,NSN-8692-898625,Combustion chamber liner,100110,SR1-Freedom,Routine,21,EA,440211.57,9244442.98,USD,2025-11-19,2025-10-23,2025-11-19,0,,Delivered
45100033,00010,NSN-5835-623125,Ablative TPS tile,100115,Artemis-3,Essential,26,SET,1160184.11,30164786.84,USD,2026-06-11,2025-12-26,2026-06-11,0,,Open
45100034,00010,NSN-3250-310026,Titanium thrust bracket,100082,Moon-Base,Essential,6,SET,2295297.48,13771784.88,USD,2026-10-19,2026-05-10,2026-10-27,8,,Open-Late
45100035,00010,NSN-7762-731792,Al-Li dome gore,100071,EGS-Ground,Routine,8,LOT,720771.95,5766175.58,USD,2026-05-13,2026-03-14,2026-05-13,0,,Delivered
45100036,00010,NSN-7677-218327,Ablative TPS tile,100096,EGS-Ground,Routine,4,EA,109715.33,438861.31,USD,2026-03-31,2026-02-23,2026-03-31,0,,Delivered
45100037,00010,NSN-5000-656968,Composite interstage panel,100015,EGS-Ground,Essential,35,LOT,2116228.18,74067986.22,USD,2026-02-12,2025-11-16,2026-02-12,0,,Delivered
45100038,00010,NSN-7494-559337,Combustion chamber liner,100056,Gateway,Essential,6,EA,1922023.8,11532142.81,USD,2026-07-09,2026-04-25,2026-07-09,0,,Open
45100039,00010,NSN-8438-637566,Cryo transfer line,100110,Artemis-3,Routine,2,EA,260516.23,521032.45,USD,2026-01-29,2025-12-27,2026-01-29,0,,Delivered
45100040,00010,NSN-3847-870786,Titanium thrust bracket,100040,EGS-Ground,Essential,25,EA,633524.2,15838104.95,USD,2026-01-29,2025-12-05,2026-06-08,130,,Delivered
45100041,00010,NSN-3365-944917,Power distribution unit,100023,EGS-Ground,Essential,17,EA,381478.36,6485132.14,USD,2026-09-12,2026-04-15,2026-10-26,44,,Open-Late
45100042,00010,NSN-6085-584172,Combustion chamber liner,100078,SR1-Freedom,Essential,21,EA,1506249.31,31631235.6,USD,2026-04-04,2025-11-16,2026-04-16,12,,Delivered
45100043,00010,NSN-1998-683761,Solar array wing,100052,SR1-Freedom,Routine,21,SET,687170.84,14430587.62,USD,2026-01-17,2025-12-06,2026-01-17,0,,Delivered
45100044,00010,NSN-2678-208214,Turbopump impeller,100030,Moon-Base,Essential,39,LOT,184271.29,7186580.31,USD,2026-05-19,2026-02-28,2026-05-19,0,,Delivered
45100045,00010,NSN-2020-840058,Cryo transfer line,100024,EGS-Ground,Critical,18,EA,3022792.68,54410268.17,USD,2026-05-30,2025-10-16,2026-08-13,75,,Open-Late
45100046,00010,NSN-2577-648615,Turbopump impeller,100081,Moon-Base,Routine,15,EA,99387.5,1490812.54,USD,2026-06-09,2026-05-22,2026-06-09,0,,Open
45100047,00010,NSN-8430-176517,Solar array wing,100031,Gateway,Routine,36,LOT,159536.57,5743316.61,USD,2026-04-18,2026-03-16,2026-04-18,0,,Delivered
45100048,00010,NSN-7553-879414,Ground command toolkit,100065,Gateway,Essential,33,LOT,1000346.72,33011441.82,USD,2026-04-02,2025-11-22,2026-04-02,0,,Delivered
45100049,00010,NSN-8933-920685,Power distribution unit,100100,Gateway,Critical,16,EA,4873732.22,77979715.53,USD,2026-10-21,2026-02-15,2026-10-21,0,,Open
45100050,00010,NSN-7992-427704,Rad-hard memory array,100041,SR1-Freedom,Routine,1,EA,68544.2,68544.2,USD,2026-06-16,2026-04-27,2026-06-16,0,,Open
45100051,00010,NSN-3777-245584,Flight software license,100000,Moon-Base,Essential,4,SET,1073528.91,4294115.64,USD,2026-11-14,2026-05-27,2026-11-14,0,,Open
45100052,00010,NSN-8322-182216,Mobile launcher umbilical,100109,Moon-Base,Essential,23,EA,1727407.81,39730379.72,USD,2026-10-14,2026-05-04,2026-10-14,0,,Open
45100053,00010,NSN-8030-986209,Heat-pipe radiator panel,100020,Artemis-3,Essential,35,EA,68397.52,2393913.23,USD,2026-04-14,2026-02-22,2026-04-30,16,,Delivered
45100054,00010,NSN-5009-876513,Flight computer module,100092,SR1-Freedom,Critical,36,EA,1132032.84,40753182.28,USD,2026-11-20,2025-12-11,2026-11-20,0,,Open
45100055,00010,NSN-1092-446620,Solar array wing,100113,EGS-Ground,Essential,22,LOT,134720.71,2963855.66,USD,2026-05-06,2026-03-12,2026-05-06,0,,Delivered
45100056,00010,NSN-5205-925250,Rad-hard memory array,100084,Gateway,Critical,21,SET,6581833.22,138218497.66,USD,2026-04-26,2025-12-27,2026-08-31,127,,Open-Late
45100057,00010,NSN-9361-567122,Combustion chamber liner,100082,Gateway,Routine,1,LOT,480240.83,480240.83,USD,2026-04-13,2026-03-05,2026-04-13,0,,Delivered
45100058,00010,NSN-7579-629208,Titanium thrust bracket,100071,EGS-Ground,Essential,32,EA,2991374.53,95723985.12,USD,2026-09-19,2026-04-14,2026-09-19,0,,Open
45100059,00010,NSN-8032-101640,Power distribution unit,100105,SR1-Freedom,Essential,35,EA,1381828.49,48363997.11,USD,2026-03-08,2025-10-08,2026-03-08,0,,Delivered
45100060,00010,NSN-4052-885386,Cryo transfer line,100102,EGS-Ground,Routine,23,EA,468092.83,10766135.1,USD,2026-05-04,2026-04-27,2026-05-04,0,,Delivered
